type,topic,num_reviews,top_words,positive_count,positive_pct,negative_count,negative_pct,star_5,star_1,example_num,rating,sentiment,review_text
TOPIC,124,242,"sick, poisoning, stomach, eating, got, ate, gross, eat",16,6.6,226,93.4,13,180,,,,
EXAMPLE,124,,,,,,,,,1,1,NEGATIVE,"I frequently contemplate eating my own vomit over going to this place for a meal, alas, they rob me of $300/month, so I am obligated to utilize it."
EXAMPLE,124,,,,,,,,,2,1,NEGATIVE,Most of the food here is gross and will make you sick .
EXAMPLE,124,,,,,,,,,3,5,POSITIVE,The diarrhea afterwards is the best
EXAMPLE,124,,,,,,,,,4,5,NEGATIVE,Only food I eat after a good day.
EXAMPLE,124,,,,,,,,,5,3,POSITIVE,It made me full😁
TOPIC,6,2010,"said, minutes, waitress, told, table, came, manager, didn",176,8.8,1834,91.2,76,1357,,,,
EXAMPLE,6,,,,,,,,,1,1,NEGATIVE,Walk in when its completely empty and asked if they're open and was told to sit anywhere.. Sat down and nobody came for 20 min. We decided to leave and on the way out the waitress had the nerve to say 'Thank you.  Food might be great but the staff sure didn't let us experience it
EXAMPLE,6,,,,,,,,,2,1,NEGATIVE,Eleven of us had 7 pm reservations tonight.  It took  over 1 1/2 hours to get our food.  The server said 1 hour 10 minutes but swear it was longer. Excuse was they had a banquet.  That's not an excuse.  To comensate the manager offered the 11 of us 3 free desserts to share.  What an insult.  Finally talked them up to 5 so couples could share.  The king salmon I ordered was bland.  Three ordered the halibut and said it was tasteless.  I will never eat there again. Had to go out and pay for an extra 2 hours on the parking meter too. They added 18% gratuity.  Didn't get out of there till 10 pm.
EXAMPLE,6,,,,,,,,,3,5,NEGATIVE,"Good food. Waiter should have wrote thing down, he got 1 of the three dinners wrong. Manager took care of us though even after telling her is wasn't necessary. Been there a few times before and haven't had this problem but also haven't had this particular waiter before either."
EXAMPLE,6,,,,,,,,,4,4,NEGATIVE,Waiters sort of forgot we were there for 20 mins
EXAMPLE,6,,,,,,,,,5,3,POSITIVE,"First and foremost, I was a little surprised that my server... at a Cajun/creole restaurant... didn’t know what Absinthe was... especially considering it is in fact an ingredient in one of their drinks.

I agree with some of the other reviews in that my server seemed stressed... perhaps due to covid... but I also felt she was maybe a little annoyed or disinterested in providing better service to my partner and I as we only ordered drinks and appetizers.

But the real annoyance came after the second and third times someone tried to take our plates before we were finished eating. Like literally mid bite, THREE TIMES, someone tried to take our plates away. Sort of felt like they were trying to rush us out of there.

The ambiance of the place is eclectic and fun, and food was pretty good, and I will likely go back... but I think the staff needs a little tune up. But then again, I know it’s weird times so I’m willing to grant a bit of grace."
TOPIC,104,295,"minutes, order, hour, ready, phone, 30, 20, took",54,18.3,241,81.7,29,168,,,,
EXAMPLE,104,,,,,,,,,1,1,NEGATIVE,"After ordering,we waited an hour and 45 minutes and still no food,just excuses. Walked out."
EXAMPLE,104,,,,,,,,,2,2,NEGATIVE,Waited 30 minutes from time we ordered to time meal came and another 10 minutes for toast to arrive.  Kitchen staff not efficient. Happened several vusits at Tudor I Hop.
EXAMPLE,104,,,,,,,,,3,5,NEGATIVE,"The food is always very good. But today I didn’t have a good customer service experience. I called in my order at 12 and got there about 12:10. I waited till 12:20 to ask an ETA on my food and they said another 15 minutes. It would’ve been nice to know on the phone about the 35 minute wait, when my lunch break is only an hour. I saw 3 people who came in AFTER I had arrived and gotten their food before me. The food is great but it would’ve been nice to know there was a wait. They didn’t say anything about it on the phone."
EXAMPLE,104,,,,,,,,,4,5,POSITIVE,Ordering ahead is a lot quicker than waiting in line. The staff was quick to respond to the doorbell. Good ice cream
